ISO,year,base_year,currency,source,ver,gdp_defl
ABW,1980,2022,USD,WEO_est,Apr-24,0.408106153
ABW,1981,2022,USD,WEO_est,Apr-24,0.417217602
ABW,1982,2022,USD,WEO_est,Apr-24,0.426532476
ABW,1983,2022,USD,WEO_est,Apr-24,0.436055315
ABW,1984,2022,USD,WEO_est,Apr-24,0.445790762
ABW,1985,2022,USD,WEO_est,Apr-24,0.455743565
ABW,1986,2022,USD,WEO_est,Apr-24,0.465918576
ABW,1987,2022,USD,WEO_est,Apr-24,0.476320755
ABW,1988,2022,USD,WEO_est,Apr-24,0.486955176
ABW,1989,2022,USD,WEO_est,Apr-24,0.497827023
ABW,1990,2022,USD,WEO_est,Apr-24,0.508941596
ABW,1991,2022,USD,WEO_est,Apr-24,0.520304315
ABW,1992,2022,USD,WEO_est,Apr-24,0.531920721
ABW,1993,2022,USD,WEO_est,Apr-24,0.543796476
ABW,1994,2022,USD,WEO_est,Apr-24,0.555937372
ABW,1995,2022,USD,WEO,Apr-24,0.568349327
ABW,1996,2022,USD,WEO,Apr-24,0.586363006
ABW,1997,2022,USD,WEO,Apr-24,0.608260215
ABW,1998,2022,USD,WEO,Apr-24,0.648173916
ABW,1999,2022,USD,WEO,Apr-24,0.661681297
ABW,2000,2022,USD,WEO,Apr-24,0.667959575
ABW,2001,2022,USD,WEO,Apr-24,0.649019947
ABW,2002,2022,USD,WEO,Apr-24,0.6780197
ABW,2003,2022,USD,WEO,Apr-24,0.698595518
ABW,2004,2022,USD,WEO,Apr-24,0.718316783
ABW,2005,2022,USD,WEO,Apr-24,0.754654232
ABW,2006,2022,USD,WEO,Apr-24,0.781026623
ABW,2007,2022,USD,WEO,Apr-24,0.821415546
ABW,2008,2022,USD,WEO,Apr-24,0.856303803
ABW,2009,2022,USD,WEO,Apr-24,0.870969628
ABW,2010,2022,USD,WEO,Apr-24,0.860381681
ABW,2011,2022,USD,WEO,Apr-24,0.894748694
ABW,2012,2022,USD,WEO,Apr-24,0.896277878
ABW,2013,2022,USD,WEO,Apr-24,0.878511007
ABW,2014,2022,USD,WEO,Apr-24,0.913293164
ABW,2015,2022,USD,WEO,Apr-24,0.975664515
ABW,2016,2022,USD,WEO,Apr-24,0.965964855
ABW,2017,2022,USD,WEO,Apr-24,0.935016721
ABW,2018,2022,USD,WEO,Apr-24,0.967609617
ABW,2019,2022,USD,WEO,Apr-24,1.026698049
ABW,2020,2022,USD,WEO,Apr-24,1.017734777
ABW,2021,2022,USD,WEO,Apr-24,0.966858037
ABW,2022,2022,USD,WEO,Apr-24,1
ABW,2023,2022,USD,WEO,Apr-24,1.054680227
ABW,2024,2022,USD,WEO,Apr-24,1.078181619
ABW,2025,2022,USD,WEO,Apr-24,1.096889875
ABW,2026,2022,USD,WEO,Apr-24,1.117911436
ABW,2027,2022,USD,WEO,Apr-24,1.140142416
ABW,2028,2022,USD,WEO,Apr-24,1.162772819
ABW,2029,2022,USD,WEO,Apr-24,1.186031389
AFG,1980,2022,USD,WEO_est,Apr-24,0.455167875
